total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
121,25,Saturday,February,14,2009,REG,2,Iowa,,Big Ten,1,49,45,0,4,W,2,Carver-Hawkeye Arena,Iowa,IA
120,24,Wednesday,February,11,2009,REG,1,Penn State,,Big Ten,1,61,47,0,14,W,1,Mackey Arena,Indiana,IN
119,23,Sunday,February,8,2009,REG,2,Illinois,23,Big Ten,0,48,66,0,-18,L,2,State Farm Center,Illinois,IL
118,22,Tuesday,February,3,2009,REG,2,Ohio State,,Big Ten,0,72,80,1,-8,L,1,Value City Arena,Ohio,OH
117,21,Saturday,January,31,2009,REG,1,Michigan,,Big Ten,1,67,49,0,18,W,6,Mackey Arena,Indiana,IN
116,20,Tuesday,January,27,2009,REG,2,Wisconsin,,Big Ten,1,64,63,0,1,W,5,Kohl Center,Wisconsin,WI
115,19,Thursday,January,22,2009,REG,2,Minnesota,21,Big Ten,1,70,62,0,8,W,4,Williams Arena,Minnesota,MN
114,18,Sunday,January,18,2009,REG,1,Iowa,,Big Ten,1,75,53,0,22,W,3,Mackey Arena,Indiana,IN
113,17,Thursday,January,15,2009,REG,2,Northwestern,,Big Ten,1,63,61,0,2,W,2,Welsh-Ryan Arena,Illinois,IL
112,16,Sunday,January,11,2009,REG,1,Wisconsin,,Big Ten,1,65,52,0,13,W,1,Mackey Arena,Indiana,IN
111,15,Tuesday,January,6,2009,REG,2,Penn State,,Big Ten,0,64,67,0,-3,L,2,Bryce Jordan Center,Pennsylvania,PA
110,14,Tuesday,December,30,2008,REG,1,Illinois,,Big Ten,0,67,71,1,-4,L,1,Mackey Arena,Indiana,IN
109,13,Sunday,December,28,2008,REG,1,Valparaiso,,Horizon,1,59,45,0,14,W,6,Mackey Arena,Indiana,IN
108,12,Monday,December,22,2008,REG,1,Purdue-Fort Wayne,,Summit,1,70,55,0,15,W,5,Mackey Arena,Indiana,IN
107,11,Saturday,December,20,2008,REG,3,Davidson,22,Southern,1,76,58,0,18,W,4,Gainbridge Fieldhouse,Indiana,IN
106,10,Saturday,December,13,2008,REG,1,Indiana State,,MVC,1,76,62,0,14,W,3,Mackey Arena,Indiana,IN
105,9,Tuesday,December,9,2008,REG,2,Ball State,,MAC,1,68,39,0,29,W,2,Worthen Arena,Minnesota,MN
104,8,Saturday,December,6,2008,REG,1,Arkansas-Pine Bluff,,SWAC,1,90,42,0,48,W,1,Mackey Arena,Indiana,IN
103,7,Tuesday,December,2,2008,REG,1,Duke,4,ACC,0,60,76,0,-16,L,2,Mackey Arena,Indiana,IN
102,6,Friday,November,28,2008,REG,3,Oklahoma,11,Big 12,0,82,87,1,-5,L,1,Madison Square Garden (IV),New York,NY
101,5,Wednesday,November,26,2008,REG,3,Boston College,,ACC,1,71,64,0,7,W,5,Madison Square Garden (IV),New York,NY
